d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
5,0.4,20,1,1,1,50,1.72,1.2460549992775158,1.3746111756295523,2.065388824370448,0.18,0.48191793695522867,0.04641916305098248,0.3135808369490175,-20.77241108312812,16.024446443745855,0.0,-16.330661143035847,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585
5,0.4,20,1,1,2,50,1.56,1.214873807169674,1.223254161124447,1.8967458388755531,0.66,0.6262945776223706,0.48640000000000005,0.8336,-17.88458626938029,15.492606690375693,0.0,-13.590254787764163,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.0,0.0,0.0,0.0
5,0.4,20,1,1,3,50,1.44,1.2642655365621478,1.0895634722235708,1.7904365277764291,0.7,0.7354021529276429,0.4961569231001455,0.9038430768998544,-16.855384248355175,15.515012987165692,0.0,-12.55484205813367,0.32,0.47121207149916117,0.1893866775554653,0.4506133224445347,0.18,0.3880879344916036,0.07242751281112814,0.28757248718887185
5,0.4,20,1,1,4,50,1.6,1.4142135623730951,1.2080000000000002,1.992,0.68,0.7938539422542745,0.45995491371084885,0.9000450862891513,-16.72704600789726,15.440768061751223,0.0,-12.447083461045624,0.44,0.501426536422407,0.3010116551649024,0.5789883448350976,0.12,0.328260722659316,0.029010769868077213,0.21098923013192278
5,0.4,20,1,1,5,50,1.76,1.1876919823329444,1.430788578569941,2.089211421430059,0.6,0.7559289460184544,0.39046718634065924,0.8095328136593407,-16.826956360452968,15.538198385945133,0.0,-12.51998750557249,0.48,0.5046720495044483,0.34011204483587587,0.6198879551641241,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,1,1,6,50,1.96,1.2282391577259817,1.6195494749600172,2.3004505250399827,0.88,0.9398219544799159,0.6194946449686687,1.1405053550313313,-16.774250210723068,15.503723342256222,0.0,-12.476837350414847,0.48,0.5046720495044483,0.34011204483587587,0.6198879551641241,0.0,0.0,0.0,0.0
5,0.4,20,1,1,7,50,2.02,1.3013336957733408,1.6592887026997907,2.380711297300209,0.86,0.9478224237370498,0.5972770280314261,1.1227229719685738,-16.792970699114086,15.490955186725715,0.0,-12.499096990954541,0.5,0.5050762722761054,0.36,0.64,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,20,1,1,8,50,2.0,1.178030178747903,1.673466693888663,2.3265333061113367,0.94,1.0184021097498066,0.6577133371907202,1.2222866628092797,-16.913536495470048,15.545040251538007,0.0,-12.604671172203346,0.52,0.5046720495044484,0.3801120448358759,0.6598879551641241,0.02,0.1414213562373095,0.0,0.0592
5,0.4,20,1,1,9,50,1.88,1.189065831239132,1.5504077670818075,2.209592232918192,1.02,1.1155670288774078,0.7107805956929611,1.3292194043070389,-16.981629922585668,15.566151323255125,0.0,-12.666912908787005,0.52,0.5046720495044484,0.3801120448358759,0.6598879551641241,0.0,0.0,0.0,0.0
5,0.4,20,1,1,10,50,2.06,1.405673634720001,1.6703671471757033,2.4496328528242968,1.28,1.3099306727254456,0.9169057422651798,1.6430942577348202,-17.0016312446417,15.488489762643612,0.0,-12.708440917172243,0.54,0.5034574339058885,0.40044871910297636,0.6795512808970237,0.02,0.1414213562373095,0.0,0.0592
5,0.4,20,1,2,1,50,1.72,1.2460549992775158,1.3746111756295523,2.065388824370448,0.18,0.48191793695522867,0.04641916305098248,0.3135808369490175,-20.77241108312812,16.024446443745855,0.0,-16.330661143035847,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585
5,0.4,20,1,2,2,50,1.64,1.2739141034061687,1.2868890259422683,1.9931109740577315,0.88,0.7182745765700876,0.6809044450521309,1.0790955549478691,-17.738576348691844,15.467708651763921,0.0,-13.451146251276445,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.0,0.0,0.0,0.0
5,0.4,20,1,2,3,50,1.58,1.3863768666298968,1.1957159383997302,1.96428406160027,1.28,0.9044109595053951,1.0293100720012869,1.5306899279987132,-16.639810262664458,15.544517856682026,0.0,-12.331089739864245,0.2,0.4040610178208843,0.08800000000000001,0.312,0.06,0.23989793748209523,0.0,0.12649631568741232
5,0.4,20,1,2,4,50,1.6,1.4427864197660112,1.2000800080016005,1.9999199919983996,1.3,1.1473127431577865,0.9819811326351847,1.6180188673648153,-16.505714143164482,15.493477856578691,0.0,-12.211141186596723,0.3,0.4629100498862757,0.1716878805412365,0.42831211945876346,0.1,0.30304576336566325,0.016000000000000014,0.184
5,0.4,20,1,2,5,50,1.64,1.4107459309289725,1.2489611783978474,2.031038821602152,1.24,1.2047524938461722,0.9060596460443872,1.5739403539556127,-16.524188309463174,15.537172296926691,0.0,-12.217503871947887,0.38,0.49031435147801467,0.24409179568547013,0.5159082043145299,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003
5,0.4,20,1,2,6,50,1.84,1.4193991255284824,1.4465626352263934,2.2334373647736068,1.52,1.1109841197270618,1.2120509132989676,1.8279490867010324,-16.53313877932248,15.568188324352676,0.0,-12.217857137626389,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,20,1,2,7,50,2.08,1.4119027543549527,1.6886405233037025,2.4713594766962976,1.58,1.3261883388885916,1.2123993471170107,1.9476006528829894,-16.54426162349097,15.608738470342855,0.0,-12.217740054777437,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.0,0.0,0.0,0.0
5,0.4,20,1,2,8,50,1.96,1.3844618788097962,1.5762467459421354,2.3437532540578645,1.92,1.4685825458167312,1.512929686663348,2.3270703133366517,-16.538599158432255,15.58463923754936,0.0,-12.218757556243153,0.42,0.4985693819032899,0.28180361799236564,0.5581963820076343,0.02,0.1414213562373095,0.0,0.0592
5,0.4,20,1,2,9,50,2.04,1.3241863115721677,1.6729542807769038,2.4070457192230963,1.56,1.1807987611298185,1.232699282005065,1.887300717994935,-16.693213896951033,15.583120353790095,0.0,-12.373793307860286,0.42,0.4985693819032899,0.28180361799236564,0.5581963820076343,0.0,0.0,0.0,0.0
5,0.4,20,1,2,10,50,1.98,1.2370141800451007,1.6371171628675474,2.3228828371324526,1.4,1.2453996981544782,1.0547928158337372,1.7452071841662626,-16.768486524257863,15.568073946524853,0.0,-12.453236586478138,0.42,0.4985693819032899,0.28180361799236564,0.5581963820076343,0.0,0.0,0.0,0.0
5,0.4,20,2,1,1,50,1.72,1.2460549992775158,1.3746111756295523,2.065388824370448,0.18,0.48191793695522867,0.04641916305098248,0.3135808369490175,-20.77241108312812,16.024446443745855,0.0,-16.330661143035847,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585
5,0.4,20,2,1,2,50,1.3,1.1823532398033465,0.9722684024998505,1.6277315975001496,0.66,0.5928141120356123,0.49568031158744247,0.8243196884125576,-16.68329771184623,15.440582862992864,0.0,-12.40338649947137,0.18,0.3880879344916036,0.07242751281112814,0.28757248718887185,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,1,3,50,1.4,1.228903609577518,1.0593652983032995,1.7406347016967003,0.66,0.7722218143851187,0.4459510336394965,0.8740489663605036,-16.356415503598377,15.479229261205795,0.0,-12.065792056167556,0.36,0.48487322138506117,0.2256,0.49439999999999995,0.18,0.3880879344916036,0.07242751281112814,0.28757248718887185
5,0.4,20,2,1,4,50,1.66,1.171254342443979,1.3353448598897593,1.9846551401102406,0.74,0.8033094811148314,0.5173339720568043,0.9626660279431957,-16.551053148179747,15.558672559226267,0.0,-12.238409142006887,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.04,0.19794866372215744,0.0,0.09486857023834319
5,0.4,20,2,1,5,50,1.78,1.0933938924658544,1.4769266755387402,2.08307332446126,0.76,0.8466018508588031,0.5253339393947221,0.994666060605278,-16.60601835062862,15.552973376325493,0.0,-12.294954077359293,0.44,0.501426536422407,0.3010116551649024,0.5789883448350976,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,1,6,50,1.92,1.3678524804098082,1.5408506362922392,2.2991493637077607,0.96,0.9026039427960751,0.7098109514786868,1.2101890485213131,-16.679533708341456,15.491781626986052,0.0,-12.385430922629078,0.48,0.5046720495044483,0.34011204483587587,0.6198879551641241,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,1,7,50,1.98,1.347560153517066,1.6064753823373887,2.3535246176626115,0.88,0.9822921964383479,0.6077224945023919,1.152277505497608,-16.789875011224716,15.528805539235044,0.0,-12.485509720620751,0.52,0.5046720495044484,0.3801120448358759,0.6598879551641241,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,1,8,50,1.94,0.9563962973323457,1.6749004715206004,2.2050995284793995,1.02,1.020004001592791,0.7372693154254388,1.3027306845745612,-16.85666859741375,15.575174023578807,0.0,-12.539450618682363,0.52,0.5046720495044484,0.3801120448358759,0.6598879551641241,0.0,0.0,0.0,0.0
5,0.4,20,2,1,9,50,2.0,1.0879675865519869,1.6984307708004678,2.301569229199532,1.2,1.0497813183356477,0.9090154643284286,1.4909845356715712,-16.872179154131747,15.546023166728126,0.0,-12.56304138067451,0.52,0.5046720495044484,0.3801120448358759,0.6598879551641241,0.0,0.0,0.0,0.0
5,0.4,20,2,1,10,50,2.06,1.3463480460952473,1.6868113613733666,2.4331886386266337,1.16,1.0758954505007274,0.8617769961924466,1.4582230038075532,-16.846334815167815,15.533876919574022,0.0,-12.540563809652204,0.54,0.5034574339058885,0.40044871910297636,0.6795512808970237,0.02,0.1414213562373095,0.0,0.0592
5,0.4,20,2,2,1,50,1.72,1.2460549992775158,1.3746111756295523,2.065388824370448,0.18,0.48191793695522867,0.04641916305098248,0.3135808369490175,-20.77241108312812,16.024446443745855,0.0,-16.330661143035847,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585,0.14,0.3505098327538656,0.04284363119177417,0.23715636880822585
5,0.4,20,2,2,2,50,1.34,1.255355872789441,0.9920331050229061,1.687966894977094,0.94,0.7117096404046371,0.7427241525173444,1.1372758474826554,-16.592762659913223,15.47741241632723,0.0,-12.30264281618933,0.18,0.3880879344916036,0.07242751281112814,0.28757248718887185,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,2,3,50,1.48,1.281580656686046,1.124763965791757,1.835236034208243,1.32,1.0961900624714787,1.016151616755988,1.623848383244012,-16.174060744594826,15.584747990065601,0.0,-11.854188997746174,0.24,0.4314191105869,0.12041672357724931,0.3595832764227507,0.06,0.23989793748209523,0.0,0.12649631568741232
5,0.4,20,2,2,4,50,1.6,1.1952286093343936,1.2686995321464216,1.9313004678535786,1.3,1.313198307917874,0.936,1.6640000000000001,-16.26142980721434,15.547061711010203,0.0,-11.952004163968972,0.32,0.47121207149916117,0.1893866775554653,0.4506133224445347,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003
5,0.4,20,2,2,5,50,1.64,1.2249114920129152,1.3004718568365796,1.9795281431634202,1.54,1.3433129925368723,1.167652635298704,1.912347364701296,-16.339817818461988,15.580871976771673,0.0,-12.021020447684707,0.36,0.48487322138506117,0.2256,0.49439999999999995,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,2,6,50,1.8,1.2289036095775183,1.4593652983032996,2.1406347016967002,1.5,1.3887301496588271,1.1150636416237094,1.8849363583762906,-16.406858763448916,15.589437841594064,0.0,-12.0856870560794,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,20,2,2,7,50,2.1,1.3131983079178742,1.736,2.464,1.76,1.4646863563401484,1.3540096552872223,2.1659903447127777,-16.49207285296002,15.61768401678268,0.0,-12.163071705279272,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.0,0.0,0.0,0.0
5,0.4,20,2,2,8,50,2.04,1.3086837132112898,1.6772513818082833,2.402748618191717,1.56,1.2803060858518902,1.2051172588022911,1.914882741197709,-16.5738350127295,15.613709348427506,0.0,-12.24593558690794,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.0,0.0,0.0,0.0
5,0.4,20,2,2,9,50,2.08,1.2910998317365718,1.7221253850857818,2.437874614914218,1.6,1.1605769149479943,1.2783044917938704,1.9216955082061298,-16.63138748368346,15.528961260715981,0.0,-12.326979029287159,0.4,0.49487165930539356,0.26282857440414203,0.537171425595858,0.0,0.0,0.0,0.0
5,0.4,20,2,2,10,50,2.04,1.4563022785571038,1.6363336030829418,2.4436663969170582,1.66,1.2715088257175218,1.3075557349026656,2.012444265097334,-16.603395050536545,15.50832887585554,0.0,-12.304705601445013,0.44,0.501426536422407,0.3010116551649024,0.5789883448350976,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,1,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,1,1,2,50,0.4,0.5345224838248488,0.25183792658038295,0.5481620734196171,0.7,0.6776309271789384,0.5121702898900177,0.8878297101099822,-350.1998030088651,266.9789268260643,0.0,-276.1970200485592,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,1,3,50,0.8,0.4948716593053935,0.6628285744041421,0.937171425595858,0.58,0.7309485031694877,0.3773914118305938,0.782608588169406,-351.0087296750903,266.79390922620905,0.0,-277.05723097698706,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.06,0.23989793748209523,0.0,0.12649631568741232
5,0.4,500,1,1,4,50,1.12,0.558423436734059,0.9652129204358453,1.274787079564155,0.74,0.8283250865328128,0.5104,0.9696,-351.6723948430364,266.7423456770146,0.0,-277.7351888315697,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,1,1,5,50,0.96,0.5699982098074287,0.8020045570277421,1.1179954429722578,0.74,0.777489418525016,0.5244909282651888,0.9555090717348111,-351.44881218337537,266.7501620789035,0.0,-277.50943957584286,0.94,0.23989793748209523,0.8735036843125876,1.0064963156874123,0.0,0.0,0.0,0.0
5,0.4,500,1,1,6,50,0.98,0.5529143565818179,0.8267399595458751,1.1332600404541249,0.74,0.750781905341195,0.5318938732281051,0.9481061267718949,-351.50111865335873,266.9609991551164,0.0,-277.5033049899105,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,1,7,50,1.38,0.6966391622992348,1.1869014759248533,1.5730985240751465,0.78,0.9321907486328829,0.521609907310671,1.038390092689329,-352.2830341353281,267.0995897231896,0.0,-278.2468051263266,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,8,50,1.22,0.5816935163286381,1.0587627834524547,1.3812372165475453,0.74,0.9435062700547638,0.47847340479408224,1.0015265952059178,-352.0855744662274,266.960019062873,0.0,-278.08803247048877,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,9,50,1.12,0.5938459911664722,0.9553942892849705,1.2846057107150297,1.08,1.026982900320653,0.7953348633920903,1.36466513660791,-352.099054008106,266.92921787648754,0.0,-278.11004966565,0.98,0.1414213562373095,0.9408,1.0191999999999999,0.0,0.0,0.0,0.0
5,0.4,500,1,1,10,50,1.32,0.6207303137828695,1.1479423352477434,1.4920576647522568,0.86,1.0881551510024026,0.5583787805873068,1.1616212194126931,-352.3291415499871,266.8985132932805,0.0,-278.3486480837788,1.0,0.0,1.0,1.0,0.02,0.1414213562373095,0.0,0.0592
5,0.4,500,1,2,1,50,0.16,0.3703280399090206,0.05735030443298919,0.2626496955670108,0.06,0.3136356914300021,0.0,0.14693537829905612,-374.64932284282435,271.0922456029493,0.0,-299.5063860871941,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107,0.84,0.3703280399090206,0.7373503044329892,0.9426496955670107
5,0.4,500,1,2,2,50,0.3,0.5050762722761053,0.16000000000000003,0.43999999999999995,0.9,0.7071067811865476,0.7040000000000001,1.096,-349.94004123085017,267.06979757402206,0.0,-275.912070184284,0.86,0.3505098327538656,0.7628436311917741,0.9571563688082259,0.02,0.14142135623730948,0.0,0.05919999999999999
5,0.4,500,1,2,3,50,0.5,0.5802884574739972,0.3391522458969352,0.6608477541030648,1.34,1.1177601509724886,1.0301726932628437,1.6498273067371565,-350.0827440588652,267.1534507665685,0.0,-276.03158553032983,0.9,0.30304576336566325,0.8160000000000001,0.984,0.04,0.19794866372215741,0.0,0.09486857023834319
5,0.4,500,1,2,4,50,0.9,0.6468132241526726,0.7207125213518804,1.0792874786481197,1.4,1.2777531299998799,1.0458249020611414,1.7541750979388584,-350.82223016355834,266.93039222239685,0.0,-276.8329003090236,0.9,0.30304576336566325,0.8160000000000001,0.984,0.0,0.0,0.0,0.0
5,0.4,500,1,2,5,50,0.84,0.5480950312357394,0.688075808377994,0.991924191622006,1.32,1.331563451169262,0.9509094420064367,1.6890905579935636,-350.84590877355964,266.9636710914154,0.0,-276.84735448715526,0.92,0.27404751561786966,0.844037904188997,0.995962095811003,0.02,0.1414213562373095,0.0,0.0592
